RackUnit [Integer],EquipDepth [Length],EquipModel [Text],EquipSchedule [Text]
RU42SPACE,RU42DEPTH,MODEL42,RU42SCH
RU41SPACE,RU41DEPTH,MODEL41,RU41SCH
RU40SPACE,RU40DEPTH,MODEL40,RU40SCH
RU39SPACE,RU39DEPTH,MODEL39,RU39SCH
RU38SPACE,RU38DEPTH,MODEL38,RU38SCH
RU37SPACE,RU37DEPTH,MODEL37,RU37SCH
RU36SPACE,RU36DEPTH,MODEL36,RU36SCH
RU35SPACE,RU35DEPTH,MODEL35,RU35SCH
RU34SPACE,RU34DEPTH,MODEL34,RU34SCH
RU33SPACE,RU33DEPTH,MODEL33,RU33SCH
RU32SPACE,RU32DEPTH,MODEL32,RU32SCH
RU31SPACE,RU31DEPTH,MODEL31,RU31SCH
RU30SPACE,RU30DEPTH,MODEL30,RU30SCH
RU29SPACE,RU29DEPTH,MODEL29,RU29SCH
RU28SPACE,RU28DEPTH,MODEL28,RU28SCH
RU27SPACE,RU27DEPTH,MODEL27,RU27SCH
RU26SPACE,RU26DEPTH,MODEL26,RU26SCH
RU25SPACE,RU25DEPTH,MODEL25,RU25SCH
RU24SPACE,RU24DEPTH,MODEL24,RU24SCH
RU23SPACE,RU23DEPTH,MODEL23,RU23SCH
RU22SPACE,RU22DEPTH,MODEL22,RU22SCH
RU21SPACE,RU21DEPTH,MODEL21,RU21SCH
RU20SPACE,RU20DEPTH,MODEL20,RU20SCH
RU19SPACE,RU19DEPTH,MODEL19,RU19SCH
RU18SPACE,RU18DEPTH,MODEL18,RU18SCH
RU17SPACE,RU17DEPTH,MODEL17,RU17SCH
RU16SPACE,RU16DEPTH,MODEL16,RU16SCH
RU15SPACE,RU15DEPTH,MODEL15,RU15SCH
RU14SPACE,RU14DEPTH,MODEL14,RU14SCH
RU13SPACE,RU13DEPTH,MODEL13,RU13SCH
RU12SPACE,RU12DEPTH,MODEL12,RU12SCH
RU11SPACE,RU11DEPTH,MODEL11,RU11SCH
RU10SPACE,RU10DEPTH,MODEL10,RU10SCH
RU09SPACE,RU09DEPTH,MODEL09,RU09SCH
RU08SPACE,RU08DEPTH,MODEL08,RU08SCH
RU07SPACE,RU07DEPTH,MODEL07,RU07SCH
RU06SPACE,RU06DEPTH,MODEL06,RU06SCH
RU05SPACE,RU05DEPTH,MODEL05,RU05SCH
RU04SPACE,RU04DEPTH,MODEL04,RU04SCH
RU03SPACE,RU03DEPTH,MODEL03,RU03SCH
RU02SPACE,RU02DEPTH,MODEL02,RU02SCH
RU01SPACE,RU01DEPTH,MODEL01,RU01SCH
